EKE;"Riiklik ekspordikeeld";"National export prohibition"
IKE;"Riiklik impordikeeld";"National import prohibition"
EKR;"Eksporditava kauba registreering, luba";"Registration or licence of export goods"
ERE;"Eksportija registreering";"Exporter's registration"
ETE;"Eksportija tegevusluba, muu luba";"Exporter's activity licence, other licence "
IKR;"Imporditava kauba registreering, luba";"Registration or licence of import goods "
IRE;"Importija registreering";"Importer's registration"
ITE;"Importija tegevusluba, muu luba";"Importer's activity licence, other licence"
JVA;"JVIS kood P, EAF";"JVIS code P, EAF"
JVB;"JVIS kood D, O";"JVIS kood D, O"
JVC;"JVIS kood ASS";"JVIS code ASS"
JVD;"JVIS kood L";"JVIS code L"
JVE;"JVIS kood LEB";"JVIS code LEB"
JVG;"JVIS kood B91";"JVIS code B91"
JVH;"JVIS kood B95";"JVIS code B95"
JVI;"JVIS kood B98";"JVIS code B98"
JVJ;"JVIS kood PET";"JVIS code PET"
JVK;"JVIS kood NPA, DK, EDK";"JVIS code NPA, DK, EDK"
JVL;"JVIS kood PAR, DK, EDK";"JVIS code PAR, DK, EDK"
JVM;"JVIS kood KKÕ, EKÕ";"JVIS code KKÕ, EKÕ"
JVN;"JVIS kood PKÕ, RKÕ";"JVIS code PKÕ, RKÕ"
JVP;"JVIS kood T";"JVIS code T"
JVR;"JVIS kood OKS";"JVIS code OKS"
JVS;"JVIS kood KS";"JVIS code KS"
JVT;"JVIS kood PAR, KKÕ, EKÕ";"JVIS code PAR, KKÕ, EKÕ"
KEL;"Kauba ekspordiluba, sertifikaat";"Export authorization, certificate "
KEN;"Kauba ekspordiluba, sertifikaat ";"Export authorization, certificate "
KIL;"Kauba impordiluba, sertifikaat";"Import authorization, certificate "
KIN;"Kauba impordiluba, sertifikaat";"Import authorization,certificate(2)"
KIP;"Kauba impordiluba/sertifikaat";"Import authorization, certificate"
YMT;"Ühtse määraga/käsitsi sisestatud tollimaks";"Flat-rate customs duty/manualy entered customs duty"
VAT;"Käibemaks";"Value added tax"
AVY;"Alkoholiaktsiis ";"Alcohol excise "
KBL;"Kütuseaktsiis lennukibensiinilt";"Excise duty on aviation spirit"
KBT;"Kütuseaktsiis bensiinilt";"Excise duty on petrol"
KDT;"Kütuseaktsiis diislikütuselt";"Excise duty on diesel fuel"
KMG;"Kütuseaktsiis vedelgaasilt";"Excise duty on liquid petroleum gas"
KMP;"Kütuseaktsiis petrooleumilt";"Excise duty on kerosene"
KMR;"Kütuseaktsiis raskelt kütteõlilt";"Excise duty on heavy heating oil"
KMX;"Muu kütuseaktsiis";"Other fuel excise"
TGL;"Tubakaaktsiis sigarillodelt või sigaritelt";"Tobacco Excise duty on cigarillos or cigars"
TSF;"Tubakaaktsiis sigarettidelt";"Tobacco excise duty on cigaretters "
TTT;"Tubakaaktsiis suitsetamistubakalt";"Excise duty on smoking tobacco"
TTA;"Tubakaaktsiis alternatiivsetelt tubakatoodetelt";"Excise duty on alternative tobacco product"
