param_value_id	parameeter_id	maakond_id	maakond	haldusasutus_id	haldusasutus	toetuse_tunnus_id	toetuse_tunnus	param_liik	on_kohalik_id	on_kohalik	jrk_nr	param_kood	parameeter	mootyhik	kehtivus_algus	kehtivus_lopp	vaartus	mod_kpv	nimetus	kirjeldus
1050106	1000048	999999	Üleriigiline	999999	Üleriigiline	1	TTT	Riiklikult kehtestatud toimetulekutoetuse parameetrid	N	Riiklik	6	SUBSISTENCE_MARGIN_PLUS	Toimetulekupiiri koefitsient teisele ja igale järgnevale täiskasvanud leibkonnaliikmele		2014-12-01		0.80	2017-11-27	Toimetulekupiir +1	Toimetulekutoetuse arvestamisel kasutatav arvväärtus
1050082	1000804	999999	Üleriigiline	999999	Üleriigiline	1	TTT	Riiklikult kehtestatud toimetulekutoetuse parameetrid	N	Riiklik	7	SUBSISTENCE_MARGIN_CHILD	Toimetulekupiiri koefitsient lapsest leibkonnaliikmele		2015-01-01		1	2017-11-27	Toimetulekupiir +1(Laps)	Toimetulekutoetuse arvestamisel kasutatav arvväärtus
1050084	1000806	999999	Üleriigiline	999999	Üleriigiline	1	TTT	Riiklikult kehtestatud toimetulekutoetuse parameetrid	N	Riiklik	8	SUBSISTENCE_MARGIN_CHILD_AGE	Toimetulekutoetuse lapseea piirvanus		2015-01-01		17	2017-11-27	Toimetulekupiir +1(Lapsevanusepiir)	Toimetulekutoetuse arvestamisel kasutatav arvväärtus
1050098	1000814	999999	Üleriigiline	999999	Üleriigiline	1	TTT	Riiklikult kehtestatud toimetulekutoetuse parameetrid	N	Riiklik	4	TTT_STUDENT_AGE_UPPER_BOUND_INCLUDED	(Üli)õpilase maksimaalne vanus (ka), millega isikut loetakse (üli-)õpilaseks ja saab määrata eraldi elavaks 		2015-01-01		24	2017-11-27	TTT (üli-)õpilase maksmimaalne vanus(k.a.)	TTT (üli-)õpilase maksmimaalne vanus(k.a.), millega isikut loetakse (üli-)õpilaseks ja saab määrata eraldi elavaks
1095418	1000046	999999	Üleriigiline	999999	Üleriigiline	1	TTT	Riiklikult kehtestatud toimetulekutoetuse parameetrid	N	Riiklik	5	SUBSISTENCE_MARGIN	Toimetulekupiir (summa esimese leibkonnaliikme kohta)	EUR	2016-01-01		130.00	2017-11-27	Toimetulekupiir	Toimetulekutoetuse arvestamisel kasutatav arvväärtus
201	1000014	999999	Üleriigiline	999999	Üleriigiline	1	TTT	Riiklikult kehtestatud toimetulekutoetuse parameetrid	N	Riiklik	1	HOHO_AREA_QUOTA	Leibkonna normpind (ruutmeetrit)	m2	2008-01-01		15	2017-11-27	Leibkonna normpind	Toimetulekutoetuse arvestamisel kasutatav arvväärtus
301	1000016	999999	Üleriigiline	999999	Üleriigiline	1	TTT	Riiklikult kehtestatud toimetulekutoetuse parameetrid	N	Riiklik	2	HABITANT_AREA_QUOTA	Leibkonnaliikme normpind (ruutmeetrit)	m2	2008-01-01		18	2017-11-27	Liikme normpind	Toimetulekutoetuse arvestamisel kasutatav arvväärtus
1000002	1000018	999999	Üleriigiline	999999	Üleriigiline	1	TTT	Riiklikult kehtestatud toimetulekutoetuse parameetrid	N	Riiklik	3	PENSIONER_AREA_QUOTA	Üksielava pensionäri normpind (ruutmeetrit)	m2	2010-04-01		51	2017-11-27	Pensionäri normpind	Toimetulekutoetuse arvestamisel kasutatav arvväärtus
1015684	1000050	999999	Üleriigiline	999999	Üleriigiline	1	TTT	Riiklikult kehtestatud toimetulekutoetuse parameetrid	N	Riiklik	9	ADDITIONAL_SOCIAL_SUPPORT	Täiendava sotsiaaltoetuse suurus	EUR	2011-01-01		15	2017-11-27	Täiendav sotstoetus	Toimetulekutoetuse arvestamisel kasutatav arvväärtus
1043968	1000034	10037	Harju maakond	1000054	Aegviidu Vallavalitsus	1	TTT	Toimetulekutoetuse maksmiseks kehtestatud eluasemekulude piirmäärad omavalitsustes	Y	Kohalik	1	ELECTRICITY_QUOTA	Elekter (summa esimese leibkonnaliikme kohta)	EUR	2013-11-01		22.00	2017-11-27	Elekter	Toimetulekutoetuse arvestamisel kasutatav arvväärtus
